ID：亵渎电影			评论 张艺谋已死！
        ID：木卫二			评论 一群你的名字叫饕餮的怪兽从外部成功翻墙最终被掐WiFi的惨烈故事。电影里外，景甜身家背景都是世纪谜团。从选角开始，电影就呈现崩坏之势，最终炸裂于九层妖塔。中国大鼓跳水射箭焰火孔明灯队的节目单拉得漂亮，张艺谋也从大红大绿彻底进化到了五颜六色，余生可用【印象·怪兽】大型文体表演行销世界
        ID：嘟嘟熊之父			评论 张艺谋老师真Cult！想象他一边剪片子一边哼着小曲儿：这白里透着红啊，红里透着黑，黑不溜啾，绿了叭叽，蓝哇哇的，紫不溜啾，粉嘟噜的透着那个美！
        ID：汪金卫			评论 跳水体操射箭铅球标枪马术展示了中国奥运健儿的风采。如果强迫自己不去想：卧槽说英语？卧槽剧情太扯了！卧槽演得这么烂？卧槽景甜戏这么多还不死？卧槽这不科学…那还算是部能看的好莱坞片。刘德华意外成为演技担当。张艺谋突破自己变成除大场面大色调外毫无存在感的导演。也许是被人用枪指着头拍的吧
        ID：桃桃淘电影			评论 一星半，失望透顶。西式的特效怪兽与张艺谋大型精神文明建设一样的方队团体操格格不入，好像一边准备打仗，一边要上台表演，更像一个中西结合失败的怪胎。五军设定完全是摆设，搞不懂有何意义。所谓好莱坞经典剧本模式，实际就是烂梗与套路。故事讲得无趣，节奏也不好，别甩锅演员了，谁演也是烂片
        ID：大瘦瘦			评论 割裂的五军，汴梁一役就毫无功能。脑残的饕餮，只能吸引密集爱好者。敬业的刘华，你的港普永远格格不入。美丽的景甜，你是片中的唯一。PS：张涵予，刘德华，鹿晗，陈学冬都死了，剧透完毕！
        ID：有意识的贱民			评论 1.片名真好意思叫《长城》？不如叫《景甜还未开始就已经结束的初恋》吧！2.画面净在肤浅地卖弄中国元素，白瞎了这演员阵容，没一个华语演员记得住；3.好吧，除了陈学冬，陈学冬的演技在经过郭敬明的调教后，在本片中浑身解数，发挥得淋漓精致。
        ID：纳兰惊梦			评论 《长城》所承载的意义远不止一部电影的票房，它更是意味着中美电影一种全新的合作模式的可能性。如果最终交出了票房和口碑双丰收，不仅是新的世界电影IP也就形成了，更为以后有更多的中国元素打开了进军好莱坞之门，中国文化软实力也能够借助好莱坞平台输出
        ID：陆支羽			评论 2.0。1.景甜得到了一切，除了没有跟呆萌上床。2.长城内外，谁都可以死，除了景甜；事实也是如此。3.人海战术，饕餮大餐，果然老谋子还没玩够奥运会开幕式。
        ID：老晃			评论 这电影本身就是头怪兽。说它是爆米花电影的人，不太尊重爆米花。爱景甜的可以去看。
                
                
        ID：凌睿			评论 王俊凯看见景甜来了，吓得躲到龙椅后面，真是太可怕了。
                
                
        ID：一只麦麦			评论 槽点和饕餮一样多
        ID：影志			评论 你是我们的同类吗？我们的确是同类…你还是我们的同类吗？你不是我们的同类！我怎样才能让你相信我们是同类？一起打怪兽吧！你果然是我们的同类！
        ID：W3IQ7≯			评论 标准的好莱坞爆米花，又爽又嗨，所以还挺满足，算是达到了预期！被片子里的机械动力学以及各种花式机关唬住了！某些桥段居然还有种迷之民族自豪感，原谅我…不过现实是残酷的，抛开为了国内市场而采用的国师和卡司外，彻头彻尾外邦制造，剧本、服装、配乐…能自己上的都包办了，差距太悬殊！前路漫漫…
        ID：Constantine			评论 啊，真是一场盛大的尴尬智障狂欢。
        ID：夏语冰			评论 画面不错，适合喜欢大型晚会或者文艺汇演的朋友们。特效大概就是升级版九层妖塔低配版独立日水平。演员相当尴尬，英文台词尴尬，艺术体操表演尴尬，角色定位更尴尬。国师为五斗米折腰的气节实在是令人欣赏
        ID：方枪枪			评论 威廉同志为了帮助中国抗击饕餮，不远万里，来到中国。一个外国人，毫无利己的动机，把中国人民的解放事业当作他自己的事业，这是什么精神？这是国际主义的精神，这是共产主义的精神。
        ID：乐山小佛			评论 很好，张艺谋这次终于卸下他过往的艺术家包袱了，华丽转身，与以前的自己彻底说再见。
        ID：虚弱橙			评论 皇上是TFBOY，统帅是景甜，你国怎能不亡？我曾以为张艺谋还有救，但他只是一直在证明他可以拍的更烂。
        ID：二月鸟语			评论 一场缩减版的奥运会开幕式。亮点是张艺谋用饕餮影射片中的高片酬无演技演员，他用惯用的人海战术勾兑出一部毫无新意的“景甜奥特曼”打小怪兽片。留给影迷讨论的只有女主角的身世背景。一个商业片、灾难片！居然不好好讲故事！你们知道魔兽世界咋赔的？长城就是下一个。不知道张艺谋为啥要接这个活儿！
        ID：EVA_征服天堂			评论 张艺谋已经光荣进入晚节不保的黑名单！
        ID：大奇特(Grinch)			评论 拍给媚果仁儿看的好莱坞流水线作业，鼓励完成度，国师在奥运美学上引入《僵尸世界大战》《星河战队》和《超人》陨石梗。如《黄金甲》是奥运前的试水，那《长城》就是奥运后的习作。无用功太多，民族化的恩怨难引共鸣。景妹子有进步，撑起传奇怪兽片半边天，接下来还有《金刚2》《环太平洋2》，别黑她了
        ID：扭腰客			评论 不愧是量身定制，所有人，就景甜和这部片子的画风是严丝合缝的，其他人都是一副“陪娘娘下棋”的状态。看来看去，没想到演得最好的，是真正的女、主、角——鹿晗。当然���他在所有片子里都是这样，一副“你们是谁你们在干嘛这一切关我什么事”的懵逼样。
        ID：王深林子大王			评论 这次不需要吐槽景甜，因为有别的更值得吐槽的……主要还是演员吧，有些演员别说是出现在张艺谋的电影里了，他们根本都不该出现在电影里。片子是好看的，整体在预期内，钱都花在了看得到的地方，虽然没特别出彩的部分，但也能和好莱坞一流大片持平了。希望大家客观给分，可别为黑而黑啊。ps亲王太萌了！
        ID：无己			评论 张艺谋，城市小资拍小农电影成名。从下乡青年到纺织厂工人到摄影师，与“85新潮”大多数人一样，小农审美有余，工业美学创造力全无，亦如陈凯歌、陈丹青只适合做匠人，折衷主义。中国后现代一出生就死了：自诩骂两句国家就叫批判，洋人吹捧一下就是艺术家，骨子里渴望洋人赏识的小农阳具崇拜症→阳痿。
        ID：王坏			评论 7～8分是合理的（百分制）
        ID：苏筱兀			评论 饕餮虽然厉害，但守卫的军队也不是吃素的。出场时排兵布阵很大阵仗，看得人热血沸腾。黑色步兵、黄色机关手、红色弓箭手、蓝色飞索兵、还有近战部队，五种颜色都非常饱和，不愧是拍过奥运会开幕式的张艺谋电影。
        ID：荔枝超人			评论 作为世界巨星的景甜小姐，在这部104分钟的电影里大概只演了90分钟，留出足足十多分钟戏给其他那些知名度不够她高的演员发挥，实在令人叹服。而张导，拍了30年电影，终于有机会成为能掌舵1.35亿美金预算的全球A级制作大导演！可以说没有景甜，就没有《长城》！……就像没有于佩尔，就没有《她》
        ID：局长			评论 我没想到加分项竟然是景甜老师。
        ID：垃圾桶			评论 气急败坏，即使睡觉都还是感觉吃了一下午屎，想掐死导演的心都有了。
        ID：华盛顿樱桃树			评论 北京奥运过去八年了，国师一定是寂寞了，这就玩起了人海战术，大红大绿大紫，打鼓往死里打。基本上已经不是中国电影了，典型的好莱坞逻辑的故事，典型的好莱坞节奏。演员里所有小鲜肉都沦为人肉背景，台词都没几句。你大甜甜到底是牛，实打实的女一，一觉醒来全死了，只剩下达蒙和景甜。
        ID：科林			评论 能与好莱坞匹敌的标准商业爆米花，场面宏大！因为Made in China，所以我加了点分。很多东西仔细推敲其实很有问题：五军的设置必要在哪里？饕餮拖走同伴死尸为何？威廉·达福盗走炸药的情节意义是什么？……反正好多疑问，是时间太短没能好好讲透？黄轩居然只有1句台词…陈学冬根本就是酱油~随便看看吧~
        ID：青貓			评论 开场不久穿着不同颜色服装用着不同功能性道具的五支禁军用整齐的站位和口号在统一有规律的鼓点声中给我们重演了一遍奥运会开幕式，然后张艺谋安排不同的角色玩不同的花样，有耍杂技的有凹造型的有大合唱的有耍花枪的有说相声的，在台湾普通话，港普，京腔，英语的混搭中给我们表演了一场热闹的春节晚会
        ID：rainynut			评论 保持了《新闻联播》几十年如一日的水准——增强民族凝聚力，增进中西友谊，建立合作共赢模式，促进共同可持续发展。真的不是在看《建党伟业》，这片名叫《走近科学长城之大女主景甜绝对不能不红请快让她红起来吧的那些事儿》。鹿晗实诚用心聪明灵气，眼睛很会说话，回眸一笑颠倒众生，真是太帅了。
